Spec,Gear Type,Phase,Name,Acquisition Type,Quest,Dungeon,Difficulty,Stats,Notes
Dps,Wrist,PreRaid,Spymistress's Wristguards,Quest (Dung),The Soul Devices (SL),,,128 Armor; 18 Agi; 15 Sta,
Dps,Hands,PreRaid,Fel Leather Gloves,Auction House,,,,169 Armor; 36 AP; 20 Dodge,
Dps,Hands,PreRaid,Wastewalker Gloves,Dungeon Drop,,Shattered Halls,Normal,183 Armor; 32 Agi; 33 Sta; 16 AP; 35 Hit,Warchief Kargath Bladefist
Dps,Hands,PreRaid,Gloves of the Nether-Stalker,Quest,Dealing with the Overmaster (NS),,,165 Armor; 16 Agi; 12 Sta; 60 AP,
Dps,Waist,PreRaid,Primalstrike Belt,Auction House,,,,205 Armor; 20 Agi; 32 Sta; 84 AP,
Dps,Waist,PreRaid,Girdle of the Deathdealer,Dungeon Drop,,Black Morass,Heroic,196 Armor; 28 Agi; 28 Sta; 56 AP,Aeonus
Dps,Waist,PreRaid,Socrethar's Girdle,Quest,Turning Point (NS),,,156 Armor; 23 Agi; 21 Sta; 48 AP,
Dps,Waist,PreRaid,Naaru Belt of Precision,Quest (Dung),How to Break Into the Arcatraz (TK),,,164 Armor; 25 Agi; 44 AP,
Dps,Legs,PreRaid,Fel Leather Leggings,Auction House,,,,249 Armor; 52 AP; 20 Dodge,
Dps,Legs,PreRaid,Wastewalker Leggings,Dungeon Drop,,Mana Tombs,Heroic,256 Armor; 31 Agi; 27 Sta; 28 AP; 35 Hit,Nexus-Prince Shaffar
Dps,Legs,PreRaid,Clefthoof Hide Leggings,Quest,Showdown (BEM),,,243 Armor; 30 Str; 30 Agi; 24 Sta,
Dps,Feet,PreRaid,Fel Leather Boots,Auction House,,,,196 Armor; 36 AP; 20 Dodge,
Dps,Feet,PreRaid,Felboar Hide Shoes,Quest,The Cipher of Damnation - The Third Fragment Recovered (SMV),,,191 Armor; 18 Agi; 15 Sta; 68 AP,
Dps,Neck,PreRaid,Braided Eternium Chain,Auction House,,,,Use: Increases the critical strike rating of nearby party members by 28 for 30 min; Equip: +5 Weapon Damage,
Dps,Neck,PreRaid,Prestor's Talisman of Connivery,Dungeon Drop,,Blackwing Lair,Normal,25 Agi; 22 AP; 10 Hit,Nefarian
Dps,Neck,PreRaid,Choker of Vile Intent,Dungeon Token,,,,20 Agi; 18 Sta; 42 AP,25 Badges of Justice
Dps,Neck,PreRaid,Earthen Mark of Razing,Quest,Gurok the Usurper (Nag),,,23 Agi; 20 AP,
Dps,Ring,PreRaid,Ravenclaw Band,Dungeon Drop,,Sethekk Halls,Normal,20 Agi; 15 Sta; 30 AP,Talon King Ikiss
Dps,Ring,PreRaid,Shaffar's Band of Brutality,Dungeon Drop,,Mana-Tombs,Heroic,40 AP,Yor
Dps,Ring,PreRaid,Band of Anguish,Quest,News of Victory (SMV),,,13 Agi; 50 AP,
Dps,Ring,PreRaid,Kaylaan's Signet,Quest,Deathblow to the Legion (NS),,,15 Agi; 50 AP,
Dps,Ring,PreRaid,Slayer's Mark of the Redemption,Quest,Dissension Amongst the Ranks... (SMV),,,15 Agi; 50 AP,
Dps,Ring,PreRaid,Shapeshifter's Signet,Reputation,,,,25 Agi; 18 Sta,Lower City - Exalted
Dps,Trinket,PreRaid,Abacus of Violent Odds,Dungeon Drop,,Mechanar,Normal,64 AP; 260 Haste Use: Increases haste rating by 260 for 10 sec,Pathaleon the Calculator
Dps,Trinket,PreRaid,Badge of the Swarmguard,Dungeon Drop,,Ahn'Qiraj,Normal,,Battleguard Sartura
Dps,Trinket,PreRaid,Hourglass of the Unraveller,Dungeon Drop,,Black Morass,Normal,,Temporus
Dps,Trinket,PreRaid,Kiss of the Spider,Dungeon Drop,,Naxxramas,Normal,10 Hit; 14 Crit; 200 Haste Use: Increases your haste rating by 200 for 15 sec,Maexxna
Dps,Trinket,PreRaid,Slayer's Crest,Dungeon Drop,,Naxxramas,Normal,64 AP Use: Increases attack power by 260 for 20 sec,Sapphiron
Dps,Trinket,PreRaid,Bloodlust Brooch,Dungeon Token,,,,72 AP Use: Increases attack power by 278 for 20 sec,41 Badges of Justice
Dps,Trinket,PreRaid,Mark of the Champion,Quest,The Fall of Kel'Thuzad (Naxx),,,150 AP,
Dps,Main Hand,PreRaid,Blinkstrike,Auction House,,,,81.15 DPS Proc: Grants an extra attack on your next swing,World Drop
Dps,Main Hand,PreRaid,Dragonmaw,Auction House,,,,91.11 DPS; 9 Sta; 212 Haste Proc: Increases your haste rating by 212 for 10 sec,
Dps,Main Hand,PreRaid,The Night Blade,Auction House,,,,81.39 DPS Proc: Your attacks ignore 435 of your enemies' armor for 10 sec,World Drop
Dps,Main Hand,PreRaid,Vindicator's Brand,Reputation,,,,81.15 DPS; 38 AP,The Aldor - Exalted
Dps,Off Hand,PreRaid,Latro's Shifting Sword,Dungeon Drop,,Black Morass,Normal,71.79 DPS; 15 Agi; 26 AP,Aeonus
Dps,Off Hand,PreRaid,Searing Sunblade,Dungeon Token,,,,85.38 DPS; 24 Agi; 22 Sta,50 Badges of Justice
Dps,Ranged/Relic,PreRaid,Mama's Insurance,Quest,Declawing Doomclaw (NS),,,56.82 DPS; 10 Agi; 32 AP,
Dps,Ranged/Relic,PreRaid,Mark V's Throwing Star,Quest,Mark V is Alive! (NS),,,51.76 DPS; 7 Agi; 10 Sta; 14 AP,
Dps,Ranged/Relic,PreRaid,Marksman's Bow,Reputation,,,,73.75 DPS; 12 Agi; 22 AP,Thrallmar - Exalted
Dps,Ranged/Relic,PreRaid,Veteran's Musket,Reputation,,,,73.7 DPS; 12 Agi; 22 AP,Honor Hold - Exalted
